ID,Temperature,Humidity,Wind Speed,Precipitation (%),Cloud Cover,Atmospheric Pressure,UV Index,Season,Visibility (km),Location,Weather Type
W10641,40.0,62,6.0,12.0,clear,1022.43,10,Winter,7.0,inland,Sunny
W6933,20.0,22,4.5,18.0,partly cloudy,1014.29,10,Summer,8.5,inland,Sunny
W12677,33.0,63,15.5,94.0,overcast,1012.72,2,Autumn,4.0,inland,Rainy
W5242,32.0,66,12.5,41.0,partly cloudy,1006.41,4,Autumn,8.0,coastal,Cloudy
W297,24.0,77,13.5,89.0,partly cloudy,1019.08,2,Summer,4.0,inland,Rainy
W6395,11.0,82,13.0,68.0,overcast,998.55,1,Summer,1.5,inland,Rainy
W4250,43.0,41,1.0,0.0,partly cloudy,1029.63,6,Spring,8.0,mountain,Sunny
W6611,16.0,65,12.5,27.0,cloudy,1146.34,8,Winter,15.0,inland,Rainy
W4952,17.0,63,4.5,44.0,partly cloudy,1008.97,3,Spring,6.5,coastal,Cloudy
W10465,-8.0,73,7.0,87.0,overcast,992.94,1,Winter,2.5,mountain,Snowy
W11486,27.0,60,8.0,92.0,overcast,991.3,2,Autumn,2.0,coastal,Rainy
W1979,28.0,45,7.5,1.0,clear,1019.2,9,Spring,5.0,inland,Sunny
W7441,28.0,57,5.0,21.0,partly cloudy,1009.21,3,Spring,8.5,inland,Cloudy
W6616,30.0,29,0.5,13.0,partly cloudy,1013.89,6,Winter,7.0,coastal,Sunny
W3195,39.0,109,17.0,95.0,partly cloudy,1019.88,3,Summer,7.5,inland,Cloudy
W5093,22.0,58,9.0,22.0,overcast,1004.77,3,Spring,7.5,coastal,Cloudy
W3497,24.0,23,9.0,18.0,clear,1020.46,7,Winter,7.0,coastal,Sunny
W13145,13.0,69,11.0,32.0,partly cloudy,1003.45,1,Summer,7.0,coastal,Cloudy
W10010,19.0,56,5.0,28.0,overcast,1000.45,4,Summer,7.5,inland,Cloudy
W9215,31.0,96,9.0,81.0,overcast,1019.95,2,Spring,3.5,inland,Rainy
W1514,28.0,71,9.0,66.0,partly cloudy,1007.58,1,Spring,2.0,inland,Rainy
W8283,42.0,68,0.5,11.0,clear,1013.11,5,Summer,9.0,inland,Sunny
W9867,37.0,39,4.0,4.0,clear,1018.48,8,Spring,5.5,mountain,Sunny
W81,27.0,73,9.5,47.0,partly cloudy,1017.82,1,Summer,7.0,coastal,Cloudy
W4152,43.0,63,6.5,92.0,cloudy,867.75,8,Winter,5.0,mountain,Rainy
W2745,43.0,24,2.0,15.0,clear,1014.48,6,Autumn,9.5,inland,Sunny
W267,13.0,79,11.0,63.0,overcast,990.71,2,Spring,4.5,coastal,Rainy
W8099,22.0,86,11.5,69.0,overcast,990.64,1,Summer,1.0,mountain,Rainy
W1824,38.0,88,23.5,78.0,overcast,1002.81,6,Winter,6.5,inland,Cloudy
W155,13.0,75,9.5,40.0,overcast,1005.39,2,Autumn,8.0,inland,Cloudy
W7729,36.0,67,4.5,7.0,clear,1027.18,8,Winter,7.5,inland,Sunny
W12422,31.0,69,6.0,25.0,partly cloudy,998.99,7,Autumn,7.0,mountain,Sunny
W1104,48.0,47,1.5,97.0,overcast,932.54,4,Spring,17.0,coastal,Sunny
W8703,37.0,60,9.0,5.0,clear,1022.31,10,Winter,6.5,inland,Sunny
W4018,6.0,69,9.5,43.0,cloudy,927.25,14,Autumn,20.0,inland,Sunny
W5472,21.0,56,7.0,10.0,partly cloudy,1002.94,3,Summer,9.0,inland,Cloudy
W12401,-5.0,40,2.5,15.0,partly cloudy,1122.53,0,Autumn,5.5,mountain,Cloudy
W13,12.0,59,10.5,25.0,partly cloudy,1016.08,3,Autumn,5.5,mountain,Cloudy
W2766,64.0,109,13.5,90.0,clear,1019.1,2,Autumn,2.5,mountain,Sunny
W1995,22.0,53,5.5,13.0,overcast,1012.65,1,Spring,5.0,inland,Cloudy
W4549,52.0,80,17.0,71.0,clear,1022.7,13,Autumn,6.5,coastal,Sunny
W3012,28.0,63,3.0,12.0,overcast,1019.8,3,Autumn,7.5,mountain,Cloudy
W11522,31.0,68,3.5,5.0,partly cloudy,1013.62,8,Autumn,6.0,mountain,Sunny
W715,19.0,74,6.5,37.0,overcast,1018.34,2,Winter,7.0,coastal,Cloudy
W3432,12.0,94,19.0,56.0,partly cloudy,1003.53,2,Autumn,3.5,coastal,Rainy
W7819,31.0,81,6.0,72.0,overcast,994.91,3,Autumn,4.0,mountain,Rainy
W10063,41.0,22,3.5,11.0,clear,1024.33,5,Autumn,7.5,coastal,Sunny
W5684,16.0,109,38.0,98.0,partly cloudy,1019.21,1,Winter,1.5,mountain,Rainy
W11414,34.0,60,1.0,10.0,partly cloudy,1016.38,7,Autumn,6.0,inland,Sunny
W4862,18.0,65,13.5,17.0,overcast,1010.47,3,Summer,6.5,coastal,Cloudy
W11576,18.0,86,18.5,80.0,clear,1011.9,10,Spring,3.0,coastal,Sunny
W3207,19.0,68,11.5,12.0,overcast,1010.04,3,Summer,8.5,coastal,Cloudy
W5315,32.0,71,14.0,35.0,overcast,1009.56,3,Summer,6.0,mountain,Cloudy
W11086,38.0,64,8.5,4.0,clear,1016.87,6,Autumn,6.5,mountain,Sunny
W8196,35.0,33,8.0,5.0,clear,1024.71,9,Winter,8.5,coastal,Sunny
W4158,6.0,63,13.0,19.0,cloudy,998.74,11,Summer,9.0,mountain,Cloudy
W11538,10.0,98,18.0,68.0,partly cloudy,998.54,0,Spring,2.0,coastal,Rainy
W11943,53.0,100,32.0,107.0,overcast,998.94,9,Autumn,1.0,mountain,Rainy
W1309,0.0,60,14.0,98.0,overcast,988.07,1,Winter,1.5,mountain,Snowy
W12829,43.0,43,7.5,14.0,clear,1018.7,5,Summer,9.5,coastal,Sunny
W13146,33.0,69,6.5,31.0,overcast,1019.26,2,Summer,9.0,coastal,Cloudy
W3341,27.0,98,12.0,94.0,partly cloudy,1010.09,3,Spring,4.0,mountain,Rainy
W11661,12.0,81,15.0,54.0,overcast,1003.56,0,Autumn,2.0,coastal,Rainy
W9839,24.0,33,3.5,13.0,clear,1013.48,10,Autumn,8.0,coastal,Sunny
W7416,31.0,24,7.0,19.0,partly cloudy,1019.73,8,Spring,5.0,mountain,Sunny
W3541,27.0,78,8.0,21.0,partly cloudy,1019.21,2,Autumn,6.5,coastal,Cloudy
W1106,39.0,68,5.5,2.0,clear,1013.68,11,Winter,9.5,coastal,Sunny
W8459,38.0,86,45.0,72.0,partly cloudy,1007.42,1,Winter,2.0,coastal,Rainy
W11087,42.0,33,1.0,4.0,clear,1016.59,7,Spring,8.5,inland,Sunny
W7546,26.0,100,9.0,84.0,partly cloudy,1003.25,11,Spring,4.0,mountain,Rainy
W7372,20.0,52,12.0,11.0,overcast,1013.17,2,Autumn,6.5,mountain,Cloudy
W2531,25.0,51,4.0,45.0,overcast,1155.04,3,Winter,11.5,coastal,Sunny
W5984,29.0,52,14.5,20.0,partly cloudy,1014.66,3,Autumn,6.5,mountain,Cloudy
W1966,44.0,65,3.0,19.0,partly cloudy,1023.68,5,Spring,8.0,coastal,Sunny
W9528,9.0,77,7.5,30.0,cloudy,916.2,9,Spring,1.5,mountain,Cloudy
W761,30.0,53,2.0,22.0,overcast,1004.61,2,Spring,8.0,coastal,Cloudy
W65,24.0,52,9.0,29.0,partly cloudy,1007.84,1,Autumn,8.0,mountain,Cloudy
W6037,-20.0,61,12.5,65.0,partly cloudy,1073.24,11,Spring,3.0,mountain,Sunny
W4653,-15.0,84,7.0,76.0,overcast,987.04,0,Winter,3.5,inland,Snowy
W2507,17.0,97,18.5,68.0,overcast,1008.74,0,Winter,5.0,inland,Rainy
W1717,30.0,51,6.0,15.0,clear,1012.33,8,Summer,5.0,mountain,Sunny
W10717,26.0,51,11.5,33.0,overcast,1001.95,3,Spring,6.5,mountain,Cloudy
W9158,13.0,95,12.0,65.0,overcast,1016.47,3,Winter,2.5,inland,Rainy
W2935,33.0,37,6.5,12.0,clear,1016.71,11,Spring,9.5,inland,Sunny
W13159,36.0,21,0.5,18.0,clear,1019.63,7,Spring,10.0,coastal,Sunny
W1576,10.0,77,18.0,62.0,overcast,1002.6,3,Autumn,3.0,coastal,Rainy
W7187,22.0,51,11.0,29.0,partly cloudy,1002.25,1,Autumn,6.0,coastal,Cloudy
W8708,24.0,47,3.0,19.0,partly cloudy,1022.97,7,Summer,7.5,inland,Sunny
W3600,11.0,50,5.5,28.0,overcast,1005.71,1,Spring,8.0,coastal,Cloudy
W9617,18.0,55,6.5,20.0,partly cloudy,1005.98,3,Winter,8.5,mountain,Cloudy
W12863,34.0,97,18.5,72.0,partly cloudy,1014.4,3,Autumn,4.5,inland,Rainy
W4964,20.0,62,6.0,1.0,clear,1025.1,7,Autumn,10.0,coastal,Sunny
W2157,24.0,42,2.5,1.0,partly cloudy,1019.33,7,Summer,6.0,mountain,Sunny
W4555,31.0,55,14.0,40.0,partly cloudy,1009.3,4,Summer,6.5,inland,Cloudy
W666,34.0,77,4.0,46.0,overcast,1015.98,1,Winter,5.0,coastal,Cloudy
W8322,26.0,99,18.0,83.0,overcast,999.85,2,Winter,3.0,mountain,Rainy
W9401,6.0,82,28.0,91.0,overcast,990.96,13,Winter,0.5,inland,Snowy
W18,33.0,51,0.5,27.0,overcast,1009.18,3,Autumn,5.5,coastal,Cloudy
W7012,27.0,76,2.0,41.0,overcast,1015.92,2,Spring,5.5,mountain,Cloudy
W12804,32.0,57,9.0,6.0,clear,1021.55,5,Winter,5.5,coastal,Sunny
W2565,27.0,68,12.5,13.0,partly cloudy,1003.22,4,Spring,8.5,inland,Cloudy
W11124,26.0,76,2.0,27.0,partly cloudy,1017.78,3,Autumn,5.5,mountain,Cloudy
W5619,27.0,40,5.0,15.0,clear,1026.05,9,Summer,7.0,mountain,Sunny
W4448,44.0,62,9.0,19.0,clear,1019.09,9,Autumn,8.5,coastal,Sunny
W5712,39.0,49,3.5,4.0,partly cloudy,1019.35,5,Winter,9.0,mountain,Sunny
W3360,16.0,98,13.0,75.0,overcast,994.18,0,Autumn,1.5,inland,Rainy
W9156,21.0,97,5.5,50.0,overcast,998.55,2,Summer,5.0,coastal,Rainy
W977,30.0,45,6.0,9.0,clear,1012.48,7,Summer,8.0,mountain,Sunny
W2366,26.0,70,17.5,94.0,overcast,990.94,0,Autumn,4.5,coastal,Rainy
W5686,25.0,63,0.5,46.0,overcast,1016.21,3,Spring,5.5,coastal,Cloudy
W1337,16.0,74,10.5,25.0,overcast,1010.3,4,Spring,6.5,inland,Cloudy
W12076,57.0,91,37.0,71.0,partly cloudy,992.17,10,Autumn,1.0,coastal,Rainy
W10534,35.0,43,4.5,18.0,clear,1022.08,9,Summer,9.0,mountain,Sunny
W3500,28.0,92,19.5,78.0,overcast,1017.8,2,Autumn,2.0,coastal,Rainy
W10308,-2.0,49,3.5,76.0,cloudy,1167.69,0,Summer,14.5,inland,Rainy
W10962,27.0,37,5.0,16.0,clear,1016.06,10,Autumn,9.0,inland,Sunny
W2348,33.0,71,11.5,42.0,partly cloudy,1006.67,1,Winter,8.0,coastal,Cloudy
W3367,-7.0,94,36.0,77.0,overcast,987.47,13,Winter,0.5,inland,Snowy
W9090,11.0,69,2.5,42.0,partly cloudy,1008.32,4,Summer,8.0,mountain,Cloudy
W3162,32.0,79,5.0,48.0,overcast,1130.56,13,Summer,16.0,mountain,Sunny
W11340,42.0,57,5.0,1.0,clear,1019.2,9,Spring,7.0,mountain,Sunny
W3530,11.0,63,8.0,91.0,overcast,1008.25,0,Summer,1.5,mountain,Rainy
W9422,43.0,20,1.0,3.0,clear,1011.04,5,Autumn,6.0,mountain,Sunny
W46,22.0,50,0.0,18.0,clear,1016.5,5,Summer,8.0,coastal,Sunny
W3767,18.0,77,10.5,27.0,partly cloudy,1006.48,2,Summer,6.0,inland,Cloudy
W4345,39.0,56,9.0,6.0,clear,1026.58,5,Winter,8.5,mountain,Sunny
W3659,15.0,59,15.0,17.0,overcast,1004.33,2,Summer,7.5,mountain,Cloudy
W11185,38.0,58,8.0,19.0,clear,1019.69,6,Spring,7.5,mountain,Sunny
W7231,27.0,52,9.0,18.0,partly cloudy,1000.71,4,Summer,6.0,coastal,Cloudy
W3329,16.0,63,8.0,14.0,partly cloudy,1016.32,1,Summer,5.5,inland,Cloudy
W9247,44.0,40,5.0,11.0,clear,1027.78,11,Spring,7.5,inland,Sunny
W6128,13.0,53,2.5,39.0,overcast,1006.73,1,Winter,8.0,mountain,Cloudy
W4490,26.0,33,3.0,4.0,clear,1028.18,8,Spring,8.5,mountain,Sunny
W13174,15.0,66,8.0,59.0,overcast,1006.99,2,Autumn,5.0,inland,Rainy
W5576,1.0,77,5.0,55.0,overcast,993.03,0,Winter,3.0,inland,Snowy
W12908,44.0,54,2.5,14.0,clear,1015.23,10,Winter,6.5,mountain,Sunny
W2959,107.0,78,8.5,106.0,clear,1024.65,4,Winter,11.0,coastal,Sunny
W2412,-4.0,51,9.5,56.0,overcast,1125.65,13,Winter,14.0,mountain,Cloudy
W6942,-10.0,30,9.5,57.0,cloudy,1156.96,12,Winter,1.5,coastal,Rainy
W472,17.0,63,9.0,10.0,overcast,1011.5,3,Winter,6.5,inland,Cloudy
W6509,17.0,72,16.0,84.0,overcast,998.7,2,Winter,4.5,coastal,Rainy
W11143,26.0,54,8.0,26.0,partly cloudy,1011.49,2,Summer,7.5,inland,Cloudy
W11441,25.0,54,11.5,48.0,partly cloudy,1012.25,3,Winter,6.0,inland,Cloudy
W7019,20.0,26,4.5,6.0,clear,1015.58,5,Spring,9.5,inland,Sunny
W12283,21.0,59,8.0,19.0,clear,1022.45,6,Autumn,9.5,coastal,Sunny
W8157,34.0,69,12.0,19.0,overcast,1007.67,3,Winter,5.5,mountain,Cloudy
W10138,22.0,89,8.5,98.0,overcast,1017.79,1,Summer,2.5,coastal,Rainy
W6213,28.0,72,10.0,22.0,partly cloudy,1003.85,4,Winter,8.0,inland,Cloudy
W10146,34.0,69,14.5,27.0,overcast,1001.26,1,Winter,5.5,coastal,Cloudy
W2475,-4.0,94,4.0,93.0,overcast,999.99,0,Winter,2.0,mountain,Snowy
W8281,74.0,70,4.0,100.0,clear,1016.37,14,Summer,2.5,coastal,Sunny
W315,31.0,62,6.0,21.0,partly cloudy,1015.8,1,Autumn,5.5,inland,Cloudy
W11666,23.0,62,9.0,18.0,partly cloudy,1003.37,4,Autumn,6.5,mountain,Cloudy
W8228,28.0,28,9.5,5.0,clear,1025.65,5,Summer,9.5,coastal,Sunny
W4765,11.0,53,4.5,35.0,overcast,1003.66,2,Winter,5.0,inland,Cloudy
W2426,15.0,65,6.0,18.0,partly cloudy,1007.69,2,Winter,7.5,mountain,Cloudy
W11521,14.0,64,12.0,45.0,partly cloudy,1000.04,4,Spring,5.5,mountain,Cloudy
W13134,20.0,96,15.0,93.0,partly cloudy,996.28,0,Spring,1.5,inland,Rainy
W1119,20.0,70,10.0,31.0,overcast,1001.78,1,Winter,7.0,coastal,Cloudy
W7225,40.0,45,9.5,16.0,clear,1029.31,11,Spring,6.0,inland,Sunny
W8492,23.0,66,8.0,18.0,partly cloudy,1017.17,3,Spring,6.0,coastal,Cloudy
W3952,14.0,74,3.0,22.0,overcast,1009.69,1,Spring,5.5,inland,Cloudy
W8266,44.0,51,10.0,1.0,clear,1023.57,7,Autumn,6.5,coastal,Sunny
W460,-2.0,68,9.0,97.0,overcast,988.46,0,Winter,4.0,mountain,Snowy
W6632,37.0,25,6.5,14.0,clear,1019.93,5,Winter,6.5,mountain,Sunny
W6570,28.0,80,6.0,89.0,overcast,1004.07,0,Autumn,4.5,mountain,Rainy
W4065,39.0,31,6.5,10.0,clear,1021.12,7,Autumn,8.5,mountain,Sunny
W3036,37.0,68,2.0,8.0,partly cloudy,1024.28,5,Winter,8.5,mountain,Sunny
W692,31.0,63,17.0,53.0,overcast,1016.02,1,Spring,2.0,coastal,Rainy
W2582,22.0,69,5.5,12.0,partly cloudy,1011.75,2,Autumn,9.0,inland,Cloudy
W11623,35.0,107,3.0,74.0,partly cloudy,1018.52,7,Summer,5.5,inland,Cloudy
W7014,35.0,64,3.5,16.0,clear,1018.53,5,Winter,7.5,inland,Sunny
W6576,13.0,73,13.5,44.0,overcast,1013.0,1,Winter,8.0,inland,Cloudy
W8842,29.0,20,6.5,10.0,partly cloudy,1028.18,11,Summer,5.0,mountain,Sunny
W7413,41.0,48,0.5,19.0,clear,1029.0,10,Summer,8.0,coastal,Sunny
W3158,20.0,60,7.5,13.0,overcast,1006.84,1,Winter,5.0,inland,Cloudy
W5402,15.0,61,5.0,88.0,overcast,1002.34,0,Spring,3.5,mountain,Rainy
W3281,21.0,56,13.0,19.0,overcast,1017.64,1,Autumn,6.0,mountain,Cloudy
W12585,21.0,65,19.0,55.0,partly cloudy,1013.7,0,Autumn,4.0,mountain,Rainy
W7010,44.0,68,2.5,11.0,clear,1025.66,5,Autumn,8.5,inland,Sunny
W2123,29.0,50,12.5,34.0,overcast,1013.72,2,Autumn,8.5,coastal,Cloudy
W6891,19.0,64,6.0,46.0,overcast,1001.14,3,Winter,6.0,mountain,Cloudy
W3114,29.0,78,20.0,84.0,partly cloudy,1005.19,14,Spring,5.5,inland,Cloudy
W7535,10.0,70,12.0,48.0,overcast,1015.17,3,Autumn,6.0,inland,Cloudy
W3221,32.0,93,9.5,80.0,partly cloudy,1019.7,0,Autumn,3.5,inland,Rainy
W12311,15.0,68,9.0,89.0,overcast,1006.18,3,Autumn,3.5,coastal,Rainy
W1522,-2.0,65,8.0,51.0,partly cloudy,982.0,1,Winter,4.5,inland,Snowy
W1249,16.0,64,2.0,48.0,overcast,1000.6,1,Spring,6.5,coastal,Cloudy
W6415,41.0,71,11.0,31.0,cloudy,947.36,2,Summer,8.0,inland,Sunny
W9176,52.0,71,5.5,84.0,clear,1024.3,0,Autumn,14.0,coastal,Sunny
W1515,20.0,89,18.0,68.0,overcast,1019.78,2,Autumn,4.5,coastal,Rainy
W5390,34.0,44,7.0,13.0,clear,1013.91,10,Autumn,9.0,mountain,Sunny
W9511,31.0,66,9.0,71.0,partly cloudy,1006.12,1,Autumn,4.0,mountain,Rainy
W7450,20.0,47,10.0,12.0,clear,1022.14,8,Summer,9.0,coastal,Sunny
W6795,36.0,64,7.5,6.0,clear,1010.63,6,Spring,8.0,inland,Sunny
W3833,26.0,70,13.5,48.0,overcast,1015.07,3,Autumn,8.5,coastal,Cloudy
W5443,26.0,56,7.0,1.0,partly cloudy,1023.9,8,Autumn,8.5,coastal,Sunny
W1179,41.0,20,6.5,3.0,partly cloudy,1024.98,10,Spring,10.0,inland,Sunny
W9461,6.0,74,1.5,69.0,cloudy,1164.08,14,Spring,7.5,mountain,Sunny
W9367,26.0,65,5.5,11.0,partly cloudy,1028.22,5,Summer,6.0,inland,Sunny
W5143,30.0,76,11.5,78.0,overcast,999.46,2,Summer,5.0,coastal,Rainy
W3760,28.0,83,5.5,96.0,overcast,999.93,3,Summer,2.0,coastal,Rainy
W5347,22.0,63,3.5,13.0,clear,1024.74,5,Winter,7.0,coastal,Sunny
W13165,-3.0,90,2.0,90.0,overcast,983.55,1,Winter,2.0,inland,Snowy
W5892,29.0,81,10.0,79.0,overcast,1004.68,2,Autumn,3.5,inland,Rainy
W4584,25.0,73,1.0,40.0,overcast,1019.6,2,Spring,5.5,mountain,Cloudy
W1025,53.0,108,7.5,73.0,clear,1023.18,13,Winter,6.5,mountain,Sunny
W10604,26.0,82,20.0,89.0,overcast,992.0,2,Winter,1.5,coastal,Rainy
W13156,24.0,70,18.5,84.0,partly cloudy,1003.58,3,Summer,4.0,coastal,Rainy
W4115,21.0,83,15.5,82.0,overcast,1017.86,0,Summer,2.0,inland,Rainy
W12689,18.0,98,17.5,95.0,partly cloudy,1016.79,1,Spring,4.5,mountain,Rainy
W5776,31.0,56,7.5,35.0,overcast,1000.05,2,Summer,8.0,coastal,Cloudy
W5980,12.0,50,12.0,33.0,overcast,1017.74,2,Summer,7.0,mountain,Cloudy
W60,16.0,84,18.5,54.0,overcast,996.12,0,Spring,3.0,coastal,Rainy
W5508,0.0,92,5.0,95.0,overcast,992.78,13,Winter,1.5,inland,Snowy
W5631,34.0,53,7.0,22.0,partly cloudy,1004.25,3,Winter,7.0,inland,Cloudy
W9728,2.0,66,11.5,40.0,overcast,1121.11,2,Winter,6.0,inland,Sunny
W4761,24.0,74,9.5,14.0,partly cloudy,1007.28,2,Summer,7.0,inland,Cloudy
W5519,28.0,43,1.5,4.0,clear,1014.25,9,Winter,7.0,inland,Sunny
W4479,38.0,28,1.0,5.0,clear,1021.94,5,Spring,9.0,coastal,Sunny
W10901,22.0,94,5.0,62.0,overcast,990.53,2,Spring,2.5,mountain,Rainy
W1445,47.0,92,0.0,78.0,clear,1024.73,12,Summer,4.0,mountain,Sunny
W8670,10.0,57,11.0,47.0,partly cloudy,1003.16,4,Winter,5.5,inland,Cloudy
W6283,40.0,52,0.0,0.0,clear,1024.45,7,Autumn,9.0,coastal,Sunny
W10934,-8.0,49,12.0,96.0,partly cloudy,1022.06,0,Spring,3.5,inland,Cloudy
W6400,1.0,67,4.5,19.0,partly cloudy,1124.73,12,Summer,15.5,mountain,Sunny
W7586,24.0,34,3.0,9.0,clear,1015.01,10,Summer,6.5,mountain,Sunny
W10876,15.0,64,13.5,44.0,overcast,1016.18,1,Winter,9.0,coastal,Cloudy
W11010,29.0,79,6.5,75.0,partly cloudy,1012.7,1,Winter,2.0,inland,Rainy
W13163,-5.0,81,4.0,99.0,overcast,987.68,1,Winter,1.0,mountain,Snowy
W11023,12.0,68,13.5,35.0,overcast,1003.46,4,Spring,7.0,inland,Cloudy
W2957,23.0,70,10.5,12.0,partly cloudy,1017.13,2,Spring,6.5,coastal,Cloudy
W10211,37.0,49,9.0,3.0,clear,1026.49,6,Autumn,7.0,inland,Sunny
W1107,23.0,79,9.0,14.0,overcast,1005.9,1,Autumn,8.0,coastal,Cloudy
W5879,28.0,73,19.0,66.0,partly cloudy,1006.76,3,Winter,2.5,coastal,Rainy
W7955,24.0,33,5.5,5.0,clear,1013.74,5,Autumn,6.0,mountain,Sunny
W3140,1.0,40,13.5,68.0,cloudy,1035.1,0,Summer,10.5,coastal,Rainy
W11555,31.0,23,14.0,24.0,overcast,1194.77,12,Autumn,1.0,inland,Sunny
W4368,15.0,77,2.5,41.0,partly cloudy,1009.26,1,Summer,6.0,inland,Cloudy
W788,25.0,67,7.5,62.0,overcast,1008.04,3,Autumn,2.0,mountain,Rainy
W7625,48.0,50,0.5,94.0,cloudy,932.66,11,Spring,16.5,mountain,Cloudy
W4106,27.0,51,11.0,12.0,overcast,1012.95,4,Autumn,5.5,coastal,Cloudy
W5083,81.0,75,0.5,89.0,clear,1018.76,13,Autumn,9.0,mountain,Sunny
W11929,48.0,93,10.5,105.0,clear,1024.69,1,Autumn,9.5,coastal,Sunny
W6033,21.0,56,6.5,1.0,clear,1021.27,7,Summer,9.5,inland,Sunny
W10824,28.0,40,9.0,5.0,partly cloudy,1024.52,6,Winter,9.5,inland,Sunny
W4649,53.0,98,35.0,85.0,partly cloudy,1007.48,9,Summer,2.5,inland,Rainy
W11364,43.0,26,3.0,4.0,partly cloudy,1018.23,7,Autumn,9.0,mountain,Sunny
W9435,22.0,36,3.0,4.0,clear,1026.76,10,Spring,7.0,mountain,Sunny
W3345,23.0,89,17.5,95.0,partly cloudy,1017.57,5,Autumn,0.5,inland,Rainy
W12122,-18.0,48,14.5,96.0,partly cloudy,965.3,9,Summer,13.5,mountain,Cloudy
W8080,39.0,27,5.5,8.0,clear,1025.79,9,Winter,7.5,inland,Sunny
W1488,-3.0,83,16.0,90.0,overcast,991.07,0,Winter,3.0,inland,Snowy
W12188,24.0,72,8.5,70.0,partly cloudy,1010.54,3,Winter,3.0,coastal,Rainy
W9876,32.0,45,1.0,8.0,clear,1019.67,8,Autumn,7.5,inland,Sunny
W7947,39.0,36,10.0,3.0,partly cloudy,1010.12,7,Spring,5.5,inland,Sunny
W12173,39.0,62,1.5,13.0,clear,1021.87,6,Winter,8.5,coastal,Sunny
W9614,38.0,39,9.5,11.0,clear,1021.81,11,Summer,9.0,coastal,Sunny
W12082,26.0,54,2.5,13.0,partly cloudy,1014.33,9,Winter,6.0,coastal,Sunny
W558,33.0,60,7.0,37.0,partly cloudy,1009.8,2,Summer,6.0,mountain,Cloudy
W7965,10.0,63,2.5,23.0,partly cloudy,1008.83,3,Spring,7.5,inland,Cloudy
W11845,2.0,48,1.0,20.0,cloudy,843.44,0,Winter,3.5,mountain,Cloudy
W7890,16.0,55,11.5,54.0,overcast,1174.96,14,Winter,11.5,coastal,Snowy
W4351,32.0,60,7.0,34.0,partly cloudy,1004.69,2,Autumn,7.5,inland,Cloudy
W8900,12.0,73,11.0,48.0,partly cloudy,1003.09,1,Winter,6.0,coastal,Cloudy
W3058,17.0,79,14.0,31.0,partly cloudy,1013.39,3,Winter,5.0,coastal,Cloudy
W7849,41.0,20,10.0,9.0,clear,1027.84,5,Autumn,6.0,coastal,Sunny
W8742,-13.0,43,0.5,44.0,partly cloudy,1054.7,9,Spring,4.5,coastal,Rainy
W4252,11.0,61,4.0,22.0,partly cloudy,1000.66,4,Winter,8.0,mountain,Cloudy
W749,12.0,82,18.0,78.0,overcast,1018.01,1,Winter,4.5,coastal,Rainy
W6362,34.0,65,11.0,74.0,partly cloudy,1013.38,3,Autumn,3.5,coastal,Rainy
W8087,11.0,75,16.5,96.0,overcast,1000.39,3,Autumn,4.5,mountain,Rainy
W10820,17.0,64,5.5,89.0,overcast,1004.85,3,Winter,3.0,mountain,Rainy
W7678,14.0,68,14.5,34.0,partly cloudy,1017.47,2,Autumn,7.0,inland,Cloudy
W12347,30.0,107,4.0,80.0,overcast,1001.86,10,Summer,6.5,mountain,Cloudy
W572,31.0,69,5.5,73.0,partly cloudy,1010.26,3,Winter,4.0,coastal,Rainy
